MainCode,Description,Color,Size,Unit,OnHand,Price1,Bin#,MainCode2,Price2,Price3,Price4,Price5
W1296,"WIG CLIP BLISTER (60PC) : L, BROWN",BROWN,L,PK,23,$4.50 ,G14,,$6.00 ,$8.00 ,$0.00 ,$0.00 
W1297,"WIG CLIP BLISTER (60PC) : S, BLONDE",BLONDE,S,PK,0,$4.50 ,G14,,$6.00 ,$8.00 ,$0.00 ,$0.00 
W1298,"WIG CLIP BLISTER (60PC) : M, BLONDE",BLONDE,M,PK,0,$4.50 ,G14,,$6.00 ,$8.00 ,$0.00 ,$0.00 
W1299,"WIG CLIP BLISTER (60PC) : L, BLONDE ",BLONDE,L,PK,0,$4.50 ,G14,,$6.00 ,$8.00 ,$0.00 ,$0.00 
W783,SOFT TAG CLEAR (3X3) : 1000 PCS,N/A,N/A,ROLL,178,$17.50 ,L10,,$21.50 ,$28.00 ,$0.00 ,$0.00 
W784,SOFT TAG CLEAR ROUND : 1000 PCS,N/A,N/A,ROLL,760,$17.50 ,L10,,$21.50 ,$28.00 ,$0.00 ,$0.00 
W785,SOFT TAG CLEAR RECTANGLE 19X65 ,N/A,N/A,ROLL,280,$18.50 ,L10,,$22.50 ,$28.00 ,$0.00 ,$0.00 
W788,LANYARD PIN (175MM 1000PC),N/A,N/A,PK,80,$75.00 ,L10,,$100.00 ,$150.00 ,$0.00 ,$0.00 
W789,HARD TAG LANYARD (110MM 100PC),N/A,N/A,PK,440,$36.00 ,L7,,$48.00 ,$60.00 ,$0.00 ,$0.00 
W790,HARD TAG (48X42 100PC) : BLACK,N/A,N/A,PK,249,$11.00 ,L7,,$14.00 ,$20.00 ,$0.00 ,$0.00 
W791,HARD TAG (48X42 100PC) : WHITE,N/A,N/A,PK,0,$12.00 ,L7,,$15.00 ,$20.00 ,$0.00 ,$0.00 
W792,PIN : 19MM (1000 PCS),N/A,N/A,PK,0,$15.00 ,L7,,$20.00 ,$24.00 ,$0.00 ,$0.00 
W793,PIN : 27MM (1000 PCS),N/A,N/A,PK,50,$21.00 ,L10,,$28.00 ,$40.00 ,$0.00 ,$0.00 
W794,PIN : 40MM (1000 PCS),N/A,N/A,PK,111,$30.00 ,L10,,$40.00 ,$50.00 ,$0.00 ,$0.00 
W795,SOFT TAG (3X3) : 1000 PCS,N/A,N/A,ROLL,0,$17.50 ,L10,,$21.50 ,$28.00 ,$0.00 ,$0.00 
W796,SOFT TAG (3X4) : 1000 PCS,N/A,N/A,ROLL,160,$16.00 ,L10,,$20.00 ,$28.00 ,$0.00 ,$0.00 
W797,SOFT TAG (4X4) : 1000 PCS,N/A,N/A,ROLL,26,$16.00 ,L7,,$20.00 ,$28.00 ,$0.00 ,$0.00 
W798,SOFT TAG (4 ROUND) : 1000 PCS,N/A,N/A,ROLL,200,$16.00 ,L7,,$20.00 ,$28.00 ,$0.00 ,$0.00 
